sé	I know
pasa	he passes
he	I have
sea	he is
alguien	someone
dijo	he said
hace	he does
estaba	he was
parece	he seems to
serio	serious
has	you have
mejores	best
hecho	fact
después	then
ven	I come
van	they go
haciendo	by doing
jamás	ever
cierto	true
crees	they believe
dije	I said
será	he will be
había	he had
podría	he could
hagas	you do
han	they have
tenía	he had
fuera	he was
seguro	insurance
somos	we are
ve	you go
parte	part
equipo	team
vaya	he goes
ves	he sees
acuerdo	agreement
visto	seen at
sido	has been
estado	state
haces	you do
digo	I say
quería	he wanted
pasó	he passed
morir	die
forma	he forms
mierda	shit
nave	ship
veo	I see
suerte	good luck
hizo	he did
oigan	they hear
lado	side
hacerlo	he do
cara	face
mientras	while
alguna	any
veces	times
pueden	they can
siquiera	even
casi	almost
volver	back to
hice	I did
único	only
da	he gives
hemos	we have
quieren	they want to
dijiste	You said
sigue	he continues
sólo	only
sería	he would be
pasar	go to
arriba	up
carajo	fuck
dices	you say
hablando	speaking
pasado	past
significa	he means
matar	kill
cállate	shut up
justo	just
vi	I saw
dime	tell me
contra	against
sabía	he knew
hiciste	I did
deja	he leaves
viene	he comes
fuerte	strong
cerca	near
arma	weapon
dentro	inside
segundo	second
maldito	damn
muerte	death
hazlo	you do it
cuenta	he counts
algún	some
manos	hands
dicho	said
muerto	dead
atrás	back
is	is
hubi	hubi
dejar	leave
debemos	we must
miren	see
demasiado	too
infierno	hell
abajo	below
creí	I thought
déjame	I let me
cielo	sky
increíble	incredible
encontrar	find
venga	he comes
atención	attention
to	to
fuerza	force
llegar	go to
armas	weapons
debes	you must
creer	believe
hago	I do
debería	he should
iba	he was
salvar	save
dame	he give me
paz	peace
sabemos	we know
activa	active
genio	genius
haré	I will
pasando	by going to
control	control
durante	during
dicen	they say
guerra	war
it	it
maldita	damn
pensé	I thought
además	in addition
nuestras	our
haya	he has
última	last
todavía	still
señal	signal
tuve	I had
fui	I was
extraño	stranger
llegó	he arrived
culpa	guilt
mala	bad
peor	worst
vámonos	let's go
supongo	I suppose
esté	he is
mar	sea
príncipe	prince
gustaría	he would like to
raro	rare
and	and
seguir	follow
hacen	they do
red	network
supuesto	alleged
vete	go to
única	only
robot	robot
navidad	christmas
ningún	no
gusto	taste
llama	he calls
destino	destination
divertido	fun
digas	you say
apoyo	support
sueño	dream
falta	missing
hacemos	we do
segundos	seconds
odio	hate
viaje	travel
seguridad	security
of	of
queremos	we want to
bastante	quite
demás	other
venir	come
vuelta	return
mil	one thousand
orden	order
caballeros	gentlemen
suena	he sounds
cualquier	any
oro	gold
manera	way
seis	six
frente	front
queda	he remains
buscar	search
humano	human
haga	he does
ninguna	none
puta	whore
rico	rich
listos	ready
this	this
tesoro	treasure
tomar	take
trato	treatment
cuanto	how much
podrías	you could
siente	he feels
are	are
último	last
hubiera	he would have
creen	they believe
paso	step
viendo	seeing
siendo	being
haz	he do
muchacho	boy
recuerdas	they remember
diré	I will say
fueron	they were
habrá	he will have
diciendo	by saying
llevar	carry
acá	here
deben	they must
oficial	officer
llamo	I call
that	that
lamento	regrets
afuera	outside
largo	length
enorme	huge
lindo	nice
sombrero	hat
haría	he would
cerebro	brain
traje	suit
adentro	inside
what	what
buscando	looking for
tonto	fool
blanco	white
atlas	atlas
dale	he gives
reglas	rules
mayor	more
acabó	he finished
salió	he went out
semana	week
metros	meters
perdido	lost
tenga	he has
fuiste	I was
tenido	had
estuvo	he was
millones	million
comunidad	community
verás	they will see
cueva	cave
resto	rest
libertad	freedom
encontré	I found
estuve	I was
algunos	some
diga	he says
avión	aircraft
novio	boyfriend
mente	mind
espacio	space
querido	dear
eran	they were
recuerdo	I remember
espacial	space
varita	wand
auxilio	help
regresar	return
dan	they give
línea	line
vidas	lives
lejos	far
diferente	different
océano	ocean
podía	he could
asesino	killer
tuyo	yours
preocupes	you worry
trabajar	work
esperando	waiting for
dulce	sweet
estaban	they were
subtítulos	subtitles
lámpara	lamp
majestad	majesty
verdadero	real
deseo	my wish
estabas	he was
pensando	thinking
humana	human
sueños	dreams
quizá	perhaps
oído	ear
futuro	future
volar	fly
siguiente	next
we	we
cambio	change
murió	he died
pude	I could
quisiera	he would like to
broma	joke
dólares	dollars
fuerzas	forces
esperen	they expect
querida	dear
vuelve	he returns
conoces	you know
podríamos	we could
lleva	he wears
seas	you are
salvo	except
disculpe	sorry
placer	pleasure
fondo	fund
terminar	end
código	code
trasero	back
podrá	he may
hará	he will
puesto	booth
llamada	call
harlan	harlan
sentido	address
ali	ali
hogar	home
pase	he pass
cita	citation
esperanza	hope
sigues	you continue
llegado	arrived
baja	low
pie	foot
vengan	they come
